"ktax.id"	"tax.id"	"kegg.code"	"scientific.name"	"common.name"	"entrez.gnodes"	"kegg.geneid"	"ncbi.geneid"	"ncbi.proteinid"	"uniprot"
"T02978"	"246437"	"tup"	"Tupaia chinensis"	"Chinese tree shrew"	"1"	"102496715"	"102496715"	"XP_006152602"	"L8Y6Q3"
"T01007"	"9615"	"cfa"	"Canis familiaris"	"dog"	"1"	"100856179"	"100856179"	"XP_003639621"	"E2REX8"
"T01329"	"9646"	"aml"	"Ailuropoda melanoleuca"	"giant panda"	"1"	"100474078"	"100474078"	"XP_011233754"	"D2I598"
"T03271"	"29073"	"umr"	"Ursus maritimus"	"polar bear"	"1"	"103662433"	"103662433"	"XP_008688348"	NA
"T02385"	"9685"	"fca"	"Felis catus"	"domestic cat"	"1"	"101086786"	"101086786"	"XP_006943619"	"M3X2U6"
"T02988"	"74533"	"ptg"	"Panthera tigris altaica"	"Amur tiger"	"1"	"102950979"	"102950979"	"XP_007081268"	NA
"T04657"	"32536"	"aju"	"Acinonyx jubatus"	"cheetah"	"1"	"106968764"	"106968764"	"XP_014920666"	NA
"T01008"	"9913"	"bta"	"Bos taurus"	"cow"	"1"	"512571"	"512571"	"NP_001192656"	"A5D984"
"T02919"	"72004"	"bom"	"Bos mutus"	"wild yak"	"1"	"102268034"	"102268034"	"XP_005890699"	"L8I2B1"
"T02909"	"59538"	"phd"	"Pantholops hodgsonii"	"chiru"	"1"	"102341113"	"102341113"	"XP_005981059"	NA
"T02910"	"9925"	"chx"	"Capra hircus"	"goat"	"1"	"102184919"	"102184919"	"XP_017914061"	NA
"T03117"	"9940"	"oas"	"Ovis aries"	"sheep"	"1"	"101115446"	"101115446"	"XP_004006743"	"W5P1C3"
"T01009"	"9823"	"ssc"	"Sus scrofa"	"pig"	"1"	"100515619"	"100515619"	"XP_003129690"	"Q4ZHR7"
"T02979"	"419612"	"cfr"	"Camelus ferus"	"Wild Bactrian camel"	"1"	"102515367"	"102515367"	"XP_014419366"	NA
"T03086"	"310752"	"bacu"	"Balaenoptera acutorostrata scammoni"	"minke whale"	"1"	"102999179"	"102999179"	"XP_007183773"	NA
"T03090"	"118797"	"lve"	"Lipotes vexillifer"	"Yangtze River dolphin"	"1"	"103072735"	"103072735"	"XP_007451505"	NA
"T01058"	"9796"	"ecb"	"Equus caballus"	"horse"	"1"	"100072815"	"100072815"	"XP_001502911"	"F7AJG7"
"T02920"	"109478"	"myb"	"Myotis brandtii"	"Brandt's bat"	"1"	"102257982"	"102257982"	"XP_014390906"	"S7NDZ2"
"T02992"	"225400"	"myd"	"Myotis davidii"	""	"1"	"102764043"	"102764043"	"XP_015428125"	"L5M873"
"T04661"	"186990"	"hai"	"Hipposideros armiger"	"great roundleaf bat"	"1"	"109381956"	"109381956"	"XP_019496645"	NA
"T02993"	"9402"	"pale"	"Pteropus alecto"	"black flying fox"	"1"	"102885088"	"102885088"	"XP_006913274"	"L5KK06"
"T04351"	"9785"	"lav"	"Loxodonta africana"	"African savanna elephant"	"1"	"100670540"	"100670540"	"XP_003415524"	"G3SVV8"
"T01031"	"13616"	"mdo"	"Monodelphis domestica"	"opossum"	"1"	"100017806"	"100017806"	"XP_007485463"	"F7FL76"
"T02286"	"9305"	"shr"	"Sarcophilus harrisii"	"Tasmanian devil"	"1"	"100931198"	"100931198"	"XP_003759300"	"G3W315"
"T01045"	"9258"	"oaa"	"Ornithorhynchus anatinus"	"platypus"	"1"	"100076999"	"100076999"	"XP_001507137"	"F6RRC1"
"T01006"	"9031"	"gga"	"Gallus gallus"	"chicken"	"1"	"415635"	"415635"	"NP_001280231"	"Q9PT88"
"T01523"	"9103"	"mgp"	"Meleagris gallopavo"	"turkey"	"1"	"100543481"	"100543481"	"XP_010716488"	NA
"T04297"	"93934"	"cjo"	"Coturnix japonica"	"Japanese quail"	"1"	"107306537"	"107306537"	"XP_015705277"	NA
"T02816"	"8839"	"apla"	"Anas platyrhynchos"	"mallard"	"1"	"101803472"	"101803472"	"XP_012949098"	NA
"T01082"	"59729"	"tgu"	"Taeniopygia guttata"	"zebra finch"	"1"	"100189945"	"100189945"	"NP_001232745"	"B5FX59"
"T03755"	"48883"	"gfr"	"Geospiza fortis"	"medium ground-finch"	"1"	"102041341"	"102041341"	"XP_005421683"	NA
"T02815"	"59894"	"fab"	"Ficedula albicollis"	"collared flycatcher"	"1"	"101805874"	"101805874"	"XP_005050880"	"U3JLN0"
"T02921"	"181119"	"phi"	"Pseudopodoces humilis"	"Tibetan ground-tit"	"1"	"102101153"	"102101153"	"XP_014106192"	NA
"T03546"	"932674"	"ccw"	"Corvus cornix"	"hooded crow"	"1"	"104695138"	"104695138"	"XP_010407039"	NA
"T02856"	"8954"	"fpg"	"Falco peregrinus"	"peregrine falcon"	"1"	"101911294"	"101911294"	"XP_013157721"	NA
"T02911"	"345164"	"fch"	"Falco cherrug"	"Saker falcon"	"1"	"102058405"	"102058405"	"XP_005432920"	NA
"T02912"	"8932"	"clv"	"Columba livia"	"rock pigeon"	"1"	"106145670"	"106145670"	"XP_013222272"	NA
"T04298"	"202946"	"aam"	"Apteryx australis mantelli"	"brown kiwi"	"1"	"106496772"	"106496772"	"XP_013812981"	NA
"T02922"	"38654"	"asn"	"Alligator sinensis"	"Chinese alligator"	"1"	"102368976"	"102368976"	"XP_014379318"	"A0A1U8DDJ3"
"T03087"	"8496"	"amj"	"Alligator mississippiensis"	"American alligator"	"1"	"102563625"	"102563625"	"XP_019354569"	"A0A151M3H1"
"T02980"	"13735"	"pss"	"Pelodiscus sinensis"	"Chinese soft-shelled turtle"	"1"	"102447890"	"102447890"	"XP_006113822"	NA
"T02989"	"8469"	"cmy"	"Chelonia mydas"	"green sea turtle"	"1"	"102945804"	"102945804"	"XP_007066584"	NA
"T04662"	"8478"	"cpic"	"Chrysemys picta"	"western painted turtle"	"1"	"101938672"	"101938672"	"XP_008176518"	NA
"T01608"	"28377"	"acs"	"Anolis carolinensis"	"green anole"	"1"	"100567665"	"100567665"	"XP_003223099"	"G1K8P1"
"T03091"	"176946"	"pbi"	"Python bivittatus"	"Burmese python"	"1"	"103057117"	"103057117"	"XP_007435016"	NA
"T04299"	"146911"	"gja"	"Gekko japonicus"	""	"1"	"107112838"	"107112838"	"XP_015269521"	NA
"T01010"	"8355"	"xla"	"Xenopus laevis"	"African clawed frog"	"1"	"380120"	"380120"	"NP_001080428"	"A0A1L8EUP5"
"T01011"	"8364"	"xtr"	"Xenopus tropicalis"	"western clawed frog"	"1"	"100379882"	"100379882"	"XP_002934646"	"B7ZTE7"
"T01004"	"7955"	"dre"	"Danio rerio"	"zebrafish"	"1"	"445094"	"445094"	"NP_001003488"	"Q6DG54"
"T04658"	"7998"	"ipu"	"Ictalurus punctatus"	"channel catfish"	"1"	"100528572"	"100528572"	"NP_001187771"	"E3TFL4"
"T02386"	"31033"	"tru"	"Takifugu rubripes"	"torafugu"	"1"	"101063415"	"101063415"	"XP_003963055"	"H2TMF1"
"T04346"	"99883"	"tng"	"Tetraodon nigroviridis"	"spotted green pufferfish"	"0"	"GSTEN00003704G001"	NA	"CAF89712"	"Q4TBM0"
"T04659"	"215358"	"lco"	"Larimichthys crocea"	"large yellow croaker"	"1"	"104937433"	"104937433"	"XP_019118502"	NA
"T02814"	"106582"	"mze"	"Maylandia zebra"	"zebra mbuna"	"1"	"101484121"	"101484121"	"XP_004549543"	NA
"T02443"	"8090"	"ola"	"Oryzias latipes"	"Japanese medaka"	"1"	"101163713"	"101163713"	"XP_004085299"	"H2MKJ8"
"T02923"	"8083"	"xma"	"Xiphophorus maculatus"	"southern platyfish"	"1"	"102235691"	"102235691"	"XP_005813579"	"M3ZIY8"
"T04363"	"8030"	"sasa"	"Salmo salar"	"Atlantic salmon"	"1"	"100196066"	"100196066"	"NP_001134567"	"B5XB15"
"T02913"	"7897"	"lcm"	"Latimeria chalumnae"	"coelacanth"	"1"	"102356379"	"102356379"	"XP_005990862"	"H3B418"
"T03088"	"7868"	"cmk"	"Callorhinchus milii"	"elephant shark"	"1"	"103181593"	"103181593"	"XP_007896394"	"K4FYN5"
"T01074"	"7739"	"bfo"	"Branchiostoma floridae"	"Florida lancelet"	"0"	"BRAFLDRAFT_121136"	"7206632"	"XP_002601868"	"C3YPU6"
"T01056"	"7719"	"cin"	"Ciona intestinalis"	"sea squirt"	"1"	"100176380"	"100176380"	"NP_001155162"	"C4B8X0"
"T01019"	"7668"	"spu"	"Strongylocentrotus purpuratus"	"purple sea urchin"	"1"	"100888431"	"100888431"	"XP_003727405"	"W4XUY6"
"T04123"	"10224"	"sko"	"Saccoglossus kowalevskii"	"acorn worm"	"1"	"100371378"	"100371378"	"XP_002739948"	NA
"T00030"	"7227"	"dme"	"Drosophila melanogaster"	"fruit fly"	"0"	"Dmel_CG6840"	"35043"	"NP_609836"	"G2J5W1"
"T01032"	"46245"	"dpo"	"Drosophila pseudoobscura pseudoobscura"	""	"0"	"Dpse_GA14971"	"4803310"	"XP_001360074"	"Q293J0"
"T01059"	"7217"	"dan"	"Drosophila ananassae"	""	"0"	"Dana_GF10190"	"6493064"	"XP_001956976"	"B3M6U6"
"T01060"	"7220"	"der"	"Drosophila erecta"	""	"0"	"Dere_GG16799"	"6552506"	"XP_001979814"	"B3P3J2"
"T01063"	"7234"	"dpe"	"Drosophila persimilis"	""	"0"	"Dper_GL22964"	"6602598"	"XP_002027597"	"B4H9R8"
"T01064"	"7238"	"dse"	"Drosophila sechellia"	""	"0"	"Dsec_GM18051"	"6613418"	"XP_002037892"	"B4I1A3"
"T01065"	"7240"	"dsi"	"Drosophila simulans"	""	"0"	"Dsimw501_GD14986"	"6739044"	"XP_002085838"	"A0A0J9RZM8"
"T01067"	"7260"	"dwi"	"Drosophila willistoni"	""	"0"	"Dwil_GK18060"	"6643481"	"XP_002066504"	"B4MZF1"
"T01068"	"7245"	"dya"	"Drosophila yakuba"	""	"0"	"Dyak_GE20903"	"6532467"	"XP_002093214"	"B4PE88"
"T01061"	"7222"	"dgr"	"Drosophila grimshawi"	""	"0"	"Dgri_GH23323"	"6570379"	"XP_001996609"	"B4K005"
"T01062"	"7230"	"dmo"	"Drosophila mojavensis"	""	"0"	"Dmoj_GI19586"	"6578579"	"XP_002004488"	"B4KSE1"
"T01066"	"7244"	"dvi"	"Drosophila virilis"	""	"0"	"Dvir_GJ14098"	"6623991"	"XP_002048667"	"B4LDA2"
"T03448"	"7370"	"mde"	"Musca domestica"	"house fly"	"1"	"101896984"	"101896984"	"XP_005179925"	"A0A1I8MSH0"
"T01036"	"180454"	"aga"	"Anopheles gambiae"	"mosquito"	"0"	"AgaP_AGAP006085"	"1276756"	"XP_316141"	"Q7Q621"
"T01053"	"7159"	"aag"	"Aedes aegypti"	"yellow fever mosquito"	"0"	"AaeL_AAEL006163"	"5567567"	"XP_001657559"	"Q177D7"
"T01079"	"7176"	"cqu"	"Culex quinquefasciatus"	"southern house mosquito"	"0"	"CpipJ_CPIJ004088"	"6035562"	"XP_001845718"	"B0WAI4"
"T01057"	"7460"	"ame"	"Apis mellifera"	"honey bee"	"1"	"100577138"	"100577138"	"XP_006566235"	"A0A088AHD5"
"T04362"	"132113"	"bim"	"Bombus impatiens"	"common eastern bumble bee"	"1"	"100749567"	"100749567"	"XP_003491383"	NA
"T04364"	"30195"	"bter"	"Bombus terrestris"	"buff-tailed bumblebee"	"1"	"100648416"	"100648416"	"XP_003400955"	NA
"T03916"	"13686"	"soc"	"Solenopsis invicta"	"red fire ant"	"1"	"105194140"	"105194140"	"XP_011157184"	NA
"T03917"	"103372"	"aec"	"Acromyrmex echinatior"	"Panamanian leafcutter ant"	"1"	"105148984"	"105148984"	"XP_011059388"	"F4WT97"
"T03918"	"610380"	"hst"	"Harpegnathos saltator"	"Jerdon's jumping ant"	"1"	"105189510"	"105189510"	"XP_011149952"	"E2C8S2"
"T03919"	"104421"	"cfo"	"Camponotus floridanus"	"Florida carpenter ant"	"1"	"105252932"	"105252932"	"XP_011258906"	"E2AU92"
"T01081"	"7425"	"nvi"	"Nasonia vitripennis"	"jewel wasp"	"1"	"100115905"	"100115905"	"XP_001604962"	"K7IXW8"
"T01046"	"7070"	"tca"	"Tribolium castaneum"	"red flour beetle"	"1"	"655977"	"655977"	"XP_008199871"	"D7EIU4"
"T02817"	"7091"	"bmor"	"Bombyx mori"	"domestic silkworm"	"1"	"101735774"	"101735774"	"XP_004921855"	"H9ISJ1"
"T04344"	"13037"	"dpl"	"Danaus plexippus"	"monarch butterfly"	"0"	"KGM_03374"	NA	"EHJ69834"	"G6D9J3"
"T03915"	"51655"	"pxy"	"Plutella xylostella"	"diamondback moth"	"1"	"105393051"	"105393051"	"XP_011563065"	NA
"T01076"	"7029"	"api"	"Acyrthosiphon pisum"	"pea aphid"	"1"	"100571094"	"100571094"	"XP_008182493"	"J9M470"
"T01223"	"121224"	"phu"	"Pediculus humanus corporis"	"human body louse"	"0"	"Phum_PHUM464080"	"8238593"	"XP_002430149"	"E0VVK5"
"T04347"	"6669"	"dpx"	"Daphnia pulex"	"common water flea"	"0"	"DAPPUDRAFT_234292"	NA	"EFX87852"	"E9FY21"
"T01131"	"6945"	"isc"	"Ixodes scapularis"	"black-legged tick"	"0"	"IscW_ISCW017329"	"8026420"	"XP_002403570"	"B7P929"
"T00019"	"6239"	"cel"	"Caenorhabditis elegans"	"nematode"	"0"	"CELE_T23G5.1"	"176301"	"NP_499039"	"Q03604"
"T01054"	"6238"	"cbr"	"Caenorhabditis briggsae"	""	"0"	"CBG05718"	"8575036"	"XP_002633039"	"A8XLK1"
"T01050"	"6279"	"bmy"	"Brugia malayi"	"filaria"	"0"	"Bm1_43180"	"6103521"	"XP_001900098"	"A0A1I9G747"
"T02664"	"7209"	"loa"	"Loa loa"	"eye worm"	"0"	"LOAG_02796"	"9940180"	"XP_020303493"	"A0A1I7VYP5"
"T01609"	"6334"	"tsp"	"Trichinella spiralis"	""	"0"	"Tsp_01244"	"10905634"	"XP_003377057"	"E5SBX8"
"T03272"	"6412"	"hro"	"Helobdella robusta"	""	"0"	"HELRODRAFT_78187"	"20215539"	"XP_009016867"	"T1G391"
"T03273"	"225164"	"lgi"	"Lottia gigantea"	"owl limpet"	"0"	"LOTGIDRAFT_210552"	"20246225"	"XP_009062116"	"V3ZS32"
"T03920"	"29159"	"crg"	"Crassostrea gigas"	"Pacific oyster"	"1"	"105324749"	"105324749"	"XP_011422212"	"K1R448"
"T04127"	"37653"	"obi"	"Octopus bimaculoides"	""	"1"	"106884049"	"106884049"	"XP_014790752"	"A0A0L8I6K7"
"T01095"	"6183"	"smm"	"Schistosoma mansoni"	""	"0"	"Smp_165980"	"8354889"	"XP_002579231"	NA
"T01037"	"45351"	"nve"	"Nematostella vectensis"	"sea anemone"	"0"	"NEMVE_v1g16747"	"5510478"	"XP_001630927"	"A7SBK9"
"T04352"	"70779"	"adf"	"Acropora digitifera"	"stony coral"	"1"	"107327950"	"107327950"	"XP_015748163"	NA
"T01080"	"6087"	"hmg"	"Hydra vulgaris"	""	"1"	"100212037"	"100212037"	"XP_012561689"	"T2MF38"
"T01069"	"10228"	"tad"	"Trichoplax adhaerens"	""	"0"	"TRIADDRAFT_50000"	"6752144"	"XP_002110408"	"B3RRU9"
"T02284"	"400682"	"aqu"	"Amphimedon queenslandica"	"sponge"	"1"	"109580128"	"109580128"	"XP_019859618"	"I1G257"
"T00041"	"3702"	"ath"	"Arabidopsis thaliana"	"thale cress"	"0"	"AT5G22110"	"832272"	"NP_680197"	"Q500V9"
"T01578"	"81972"	"aly"	"Arabidopsis lyrata"	"lyrate rockcress"	"0"	"ARALYDRAFT_914645"	"9306021"	"XP_002869950"	"D7MG41"
"T02984"	"81985"	"crb"	"Capsella rubella"	""	"0"	"CARUB_v10014333mg"	"17893740"	"XP_006298269"	"R0G6D9"
"T02985"	"72664"	"eus"	"Eutrema salsugineum"	""	"0"	"ASK66_gp034"	"26119340"	"YP_009175707"	"A0A0U2LN39"
"T03449"	"3711"	"brp"	"Brassica rapa"	"field mustard"	"1"	"103864126"	"103864126"	"XP_009140129"	NA
"T04128"	"3708"	"bna"	"Brassica napus"	"rape"	"1"	"106345768"	"106345768"	"XP_013640405"	"A0A078HG25"
"T04125"	"28532"	"thj"	"Tarenaya hassleriana"	"spider flower"	"1"	"104824831"	"104824831"	"XP_010555306"	NA
"T02983"	"2711"	"cit"	"Citrus sinensis"	"Valencia orange"	"1"	"102619606"	"102619606"	"XP_006481919"	"A0A067EQP7"
"T02982"	"85681"	"cic"	"Citrus clementina"	"mandarin orange"	"0"	"CICLE_v10015120mg"	"18050862"	"XP_006448626"	"V4UHS8"
"T02994"	"3641"	"tcc"	"Theobroma cacao"	"cacao"	"1"	"18610398"	"18610398"	"XP_007046094"	"A0A061EPY6"
"T04129"	"29730"	"gra"	"Gossypium raimondii"	""	"1"	"105785679"	"105785679"	"XP_012467251"	"A0A0D2NPD1"
"T03547"	"71139"	"egr"	"Eucalyptus grandis"	"rose gum"	"1"	"104445289"	"104445289"	"XP_010057430"	"A0A059C9J2"
"T01710"	"3847"	"gmx"	"Glycine max"	"soybean"	"1"	"100804393"	"100804393"	"XP_006581987"	"C6TNM5"
"T03093"	"3885"	"pvu"	"Phaseolus vulgaris"	"common bean"	"0"	"PHAVU_001G099900g"	"18640945"	"XP_007161808"	"V7CUG2"
"T04126"	"3916"	"vra"	"Vigna radiata"	"mung bean"	"1"	"106776756"	"106776756"	"XP_014519715"	"A0A1S3VN52"
"T04660"	"3914"	"var"	"Vigna angularis"	"adzuki bean"	"1"	"108345127"	"108345127"	"XP_017439189"	"A0A0L9VLU2"
"T01716"	"3880"	"mtr"	"Medicago truncatula"	"barrel medic"	"0"	"MTR_5g005060"	"11446442"	"XP_003610616"	"G7K0W6"
"T02819"	"3827"	"cam"	"Cicer arietinum"	"chickpea"	"1"	"101491753"	"101491753"	"XP_004515831"	"A0A1S2Z6C4"
"T04300"	"130453"	"adu"	"Arachis duranensis"	""	"1"	"107490977"	"107490977"	"XP_015967259"	NA
"T04301"	"130454"	"aip"	"Arachis ipaensis"	""	"1"	"107643995"	"107643995"	"XP_016203245"	NA
"T04664"	"3871"	"lang"	"Lupinus angustifolius"	"narrow-leaved blue lupine"	"1"	"109340983"	"109340983"	"XP_019434311"	"A0A1J7GR19"
"T02666"	"101020"	"fve"	"Fragaria vesca"	"woodland strawberry"	"1"	"101312195"	"101312195"	"XP_004288557"	NA
"T03092"	"3760"	"pper"	"Prunus persica"	"peach"	"1"	"18776759"	"18776759"	"XP_007209389"	"M5WMS9"
"T03196"	"102107"	"pmum"	"Prunus mume"	"Japanese apricot"	"1"	"103340741"	"103340741"	"XP_008242406"	NA
"T03194"	"3750"	"mdm"	"Malus domestica"	"apple"	"1"	"103403551"	"103403551"	"XP_008340615"	NA
"T03446"	"225117"	"pxb"	"Pyrus x bretschneideri"	"Chinese white pear"	"1"	"103963118"	"103963118"	"XP_009374168"	NA
"T02486"	"3659"	"csv"	"Cucumis sativus"	"cucumber"	"1"	"101206974"	"101206974"	"XP_011658365"	"A0A0A0K367"
"T03195"	"3656"	"cmo"	"Cucumis melo"	"muskmelon"	"1"	"103491151"	"103491151"	"XP_016900601"	"A0A1S4DX92"
"T01087"	"3988"	"rcu"	"Ricinus communis"	"castor bean"	"1"	"8268912"	"8268912"	"XP_002522101"	"B9S7Y5"
"T03922"	"180498"	"jcu"	"Jatropha curcas"	""	"1"	"105639435"	"105639435"	"XP_012078890"	"A0A067KBS4"
"T01077"	"3694"	"pop"	"Populus trichocarpa"	"black cottonwood"	"0"	"POPTR_0001s02860g"	"18094200"	"XP_006368438"	"U5GUU7"
"T01084"	"29760"	"vvi"	"Vitis vinifera"	"wine grape"	"1"	"100265880"	"100265880"	"XP_002276818"	"D7TI69"
"T02665"	"4081"	"sly"	"Solanum lycopersicum"	"tomato"	"1"	"101262799"	"101262799"	"XP_004253317"	"K4CIW8"
"T04130"	"28526"	"spen"	"Solanum pennellii"	""	"1"	"107002894"	"107002894"	"XP_015056583"	NA
"T02981"	"4113"	"sot"	"Solanum tuberosum"	"potato"	"1"	"102600024"	"102600024"	"XP_015163739"	"M1ATE1"
"T04663"	"35883"	"ini"	"Ipomoea nil"	"Japanese morning glory"	"1"	"109176281"	"109176281"	"XP_019181289"	NA
"T04135"	"4182"	"sind"	"Sesamum indicum"	"sesame"	"1"	"105159673"	"105159673"	"XP_011075125"	NA
"T03548"	"3555"	"bvg"	"Beta vulgaris"	"sugar beet"	"1"	"104899915"	"104899915"	"XP_010685507"	"A0A0J8BU08"
"T04131"	"4432"	"nnu"	"Nelumbo nucifera"	"sacred lotus"	"1"	"104595744"	"104595744"	"XP_010254915"	"A0A1U8A057"
"T01015"	"39947"	"osa"	"Oryza sativa japonica"	"Japanese rice"	"1"	"4333571"	"4333571"	"XP_015631661"	"Q10G20"
"T02995"	"4533"	"obr"	"Oryza brachyantha"	"malo sina"	"1"	"102700490"	"102700490"	"XP_006646507"	"J3L674"
"T01717"	"15368"	"bdi"	"Brachypodium distachyon"	""	"1"	"100841380"	"100841380"	"XP_003559541"	"I1GPB4"
"T04345"	"37682"	"ats"	"Aegilops tauschii"	"wheat D"	"0"	"F775_03731"	NA	"EMT12934"	"N1R273"
"T01086"	"4558"	"sbi"	"Sorghum bicolor"	"sorghum"	"0"	"SORBI_01g028830"	"8058066"	"XP_002464921"	"C5WRH5"
"T01088"	"4577"	"zma"	"Zea mays"	"maize"	"1"	"100193051"	"100193051"	"NP_001131691"	"B4FDL8"
"T02818"	"4555"	"sita"	"Setaria italica"	"foxtail millet"	"1"	"101772875"	"101772875"	"XP_004973522"	"K3YH18"
"T03274"	"42345"	"pda"	"Phoenix dactylifera"	"date palm"	"1"	"103723699"	"103723699"	"XP_008812926"	"D4PBA1"
"T03921"	"51953"	"egu"	"Elaeis guineensis"	"African oil palm"	"1"	"105039684"	"105039684"	"XP_010914230"	NA
"T03447"	"214687"	"mus"	"Musa acuminata"	"wild Malaysian banana"	"1"	"103992229"	"103992229"	"XP_009410128"	"M0TIU4"
"T02990"	"13333"	"atr"	"Amborella trichopoda"	""	"1"	"18427089"	"18427089"	"XP_006836209"	"W1PVG4"
"T01496"	"88036"	"smo"	"Selaginella moellendorffii"	""	"0"	"SELMODRAFT_77448"	"9646895"	"XP_002961733"	"D8QST7"
"T01041"	"3218"	"ppp"	"Physcomitrella patens subsp. patens"	""	"0"	"PHYPADRAFT_177840"	"5920428"	"XP_001757221"	"A9RSV5"
"T01039"	"3055"	"cre"	"Chlamydomonas reinhardtii"	""	"0"	"CHLREDRAFT_131059"	"5721643"	"XP_001696039"	"A8J3Y6"
"T01330"	"3068"	"vcn"	"Volvox carteri f. nagariensis"	""	"0"	"VOLCADRAFT_88132"	"9621094"	"XP_002947982"	"D8TND1"
"T01029"	"436017"	"olu"	"Ostreococcus lucimarinus"	""	"0"	"OSTLU_24022"	"5000072"	"XP_001416093"	"A4RTE2"
"T01358"	"70448"	"ota"	"Ostreococcus tauri"	""	"0"	"Ot06g00120"	"9835531"	"XP_003079626"	"Q00WA3"
"T03089"	"41875"	"bpg"	"Bathycoccus prasinos"	""	"0"	"Bathy03g01240"	"19016662"	"XP_007514006"	"K8F1R8"
"T02695"	"296587"	"mis"	"Micromonas commoda"	""	"0"	"MICPUN_60841"	"8245904"	"XP_002507982"	"C1FGD8"
"T02696"	"564608"	"mpp"	"Micromonas pusilla"	""	"0"	"MICPUCDRAFT_57581"	"9683334"	"XP_003058267"	"C1MRA1"
"T02914"	"574566"	"csl"	"Coccomyxa subellipsoidea"	""	"0"	"COCSUDRAFT_32119"	"17044272"	"XP_005650798"	"I0Z6I5"
"T02924"	"554065"	"cvr"	"Chlorella variabilis"	""	"0"	"CHLNCDRAFT_8558"	"17355018"	"XP_005847628"	"E1ZEN3"
"T04132"	"3075"	"apro"	"Auxenochlorella protothecoides"	""	"0"	"F751_5663"	"23617054"	"XP_011400686"	"A0A087SPP5"
"T00175"	"280699"	"cme"	"Cyanidioschyzon merolae"	""	"0"	"CYME_CMI041C"	"16993868"	"XP_005536232"	"M1UQX0"
"T02926"	"130081"	"gsl"	"Galdieria sulphuraria"	""	"0"	"Gasu_06420"	"17090825"	"XP_005708753"	"M2Y836"
"T02916"	"2769"	"ccp"	"Chondrus crispus"	"carragheen"	"0"	"CHC_T00000892001"	"17318937"	"XP_005711220"	"R7QTV0"
"T00005"	"559292"	"sce"	"Saccharomyces cerevisiae"	"budding yeast"	"0"	"YPR175W"	"856305"	"NP_015501"	"P24482"
"T00167"	"284811"	"ago"	"Ashbya gossypii"	"Eremothecium gossypii"	"0"	"AGOS_AFR056W"	"4621844"	"NP_985603"	"Q754L6"
"T02237"	"931890"	"erc"	"Eremothecium cymbalariae"	""	"0"	"Ecym_6011"	"11468801"	"XP_003647236"	"G8JUU0"
"T01025"	"284590"	"kla"	"Kluyveromyces lactis"	""	"0"	"KLLA0D11528g"	"2893547"	"XP_453575"	"Q6CR64"
